feature,test_used,statistic,p_value,significant_difference,control_mean,patient_mean,control_min,control_max,patient_min,patient_max
F0semitoneFrom27.5Hz_sma3nz_amean,Mann-Whitney U,377.0,0.002270982799284979,True,30.67658556075323,27.720691927017704,24.594860076904297,34.71818161010742,20.68117904663086,34.969322204589844
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,Mann-Whitney U,686.0,0.7002192634536435,False,0.1906848752072879,0.1960567250367134,0.1450328528881073,0.28425002098083496,0.11712402105331421,0.32263392210006714
loudness_sma3_amean,Mann-Whitney U,679.0,0.7589167584496431,False,0.2550446591561749,0.25327251298773673,0.12414281815290451,0.5677515864372253,0.1059856191277504,0.5337571501731873
loudness_sma3_stddevNorm,Mann-Whitney U,733.0,0.3630595443749345,False,1.0166831314563751,1.0684967079470236,0.7658205032348633,1.6415807008743286,0.7555245161056519,1.9133636951446533
spectralFlux_sma3_amean,Mann-Whitney U,870.0,0.014748827837143614,True,0.10072718090599492,0.13808284952275215,0.03786079213023186,0.3233964741230011,0.04089533910155296,0.42897188663482666
spectralFlux_sma3_stddevNorm,Mann-Whitney U,707.0,0.5356612851244289,False,1.3689919951416196,1.3946181189629339,0.9822607636451721,2.6652839183807373,0.9870807528495789,2.118988513946533
mfcc1_sma3_amean,t-test,2.2114225681555086,0.030227258458753115,True,20.815923645382835,21.906387144519435,16.096900939941406,24.20003890991211,18.454662322998047,26.033784866333008
mfcc1_sma3_stddevNorm,t-test,-2.35183010876421,0.02145939663542149,True,0.6511460798127311,0.5768184306160096,0.2962644696235657,0.961758017539978,0.3865334391593933,0.9182857871055603
mfcc2_sma3_amean,t-test,2.003547818350856,0.048935786156984865,True,13.01652887889317,15.097662571937807,3.5376834869384766,22.254798889160156,7.283168792724609,23.375688552856445
mfcc2_sma3_stddevNorm,Mann-Whitney U,379.0,0.002445736447322927,True,1.1674531542119526,0.8192390712999529,0.535997748374939,4.329281806945801,0.35100144147872925,2.1450960636138916
mfcc3_sma3_amean,Mann-Whitney U,803.0,0.0908826949318414,False,8.616558341752915,10.360526950128618,-3.7720072269439697,14.50925064086914,1.5330582857131958,16.908384323120117
mfcc3_sma3_stddevNorm,Mann-Whitney U,505.0,0.10441871775696542,False,1.7201923798947107,1.6148213821072732,-4.649425029754639,8.963029861450195,0.5524206161499023,9.354034423828125
jitterLocal_sma3nz_amean,t-test,0.4476270311189992,0.6557851746532207,False,0.04025230028976997,0.04127786759166948,0.023099509999155998,0.05936567112803459,0.023001961410045624,0.06593813747167587
jitterLocal_sma3nz_stddevNorm,t-test,-3.022704267052113,0.0034834847833111297,True,2.2436698902220953,2.048200918782142,1.7010940313339233,2.8518218994140625,1.5111430883407593,2.537154197692871
shimmerLocaldB_sma3nz_amean,Mann-Whitney U,839.0,0.03639162610374262,True,1.1379848094213576,1.232212641546803,0.8442547917366028,1.4804211854934692,0.9666665196418762,1.7525653839111328
shimmerLocaldB_sma3nz_stddevNorm,t-test,-3.2530289886354526,0.0017492046307711502,True,0.9293460107984997,0.8638346541312433,0.7631558179855347,1.0963622331619263,0.7027989029884338,1.0629678964614868
F1frequency_sma3nz_amean,Mann-Whitney U,669.0,0.8451563100182045,False,511.47225370861236,518.9698880103326,461.7430419921875,622.20361328125,435.5680847167969,651.1680297851562
F1frequency_sma3nz_stddevNorm,t-test,3.7029118423704244,0.0004180034303592651,True,0.3343543481259119,0.37022702924666867,0.2682948112487793,0.43595775961875916,0.28238236904144287,0.47145184874534607
F1bandwidth_sma3nz_amean,t-test,0.5870699409483001,0.5590189950363262,False,1224.3444155738466,1230.3778824344759,1142.9149169921875,1303.96337890625,1115.9495849609375,1312.839599609375
F1bandwidth_sma3nz_stddevNorm,t-test,-0.10011358268609401,0.9205363056996794,False,0.19241996570712044,0.19209647995810356,0.16665798425674438,0.21429206430912018,0.15951620042324066,0.22545747458934784
F2frequency_sma3nz_amean,Mann-Whitney U,563.0,0.32881109427694866,False,1569.1031029110864,1560.0221695438509,1488.236572265625,1717.801513671875,1441.32666015625,1746.3160400390625
F2frequency_sma3nz_stddevNorm,t-test,2.1267060147341037,0.03692105900895631,True,0.16586092859506607,0.17417943189221044,0.1348857432603836,0.1954454779624939,0.1440897434949875,0.21877020597457886
F2bandwidth_sma3nz_amean,t-test,1.3419313979645833,0.18389411485470336,False,912.8941723051526,930.5868313697076,817.3798828125,1009.380859375,815.5891723632812,1094.3414306640625
F2bandwidth_sma3nz_stddevNorm,t-test,-4.366742684913701,4.210583810949618e-05,True,0.45348639502411797,0.39433832706943633,0.329903244972229,0.5494283437728882,0.2947661578655243,0.5261918306350708
F3frequency_sma3nz_amean,t-test,-0.27793258211246263,0.7818718644804536,False,2615.0609188988096,2609.108122794859,2504.25732421875,2805.8525390625,2457.98388671875,2841.880126953125
F3frequency_sma3nz_stddevNorm,t-test,3.2517710603695735,0.0017559455219750377,True,0.10185203772215616,0.11127356079316908,0.08504295349121094,0.1262759417295456,0.0835345908999443,0.13837261497974396
F3bandwidth_sma3nz_amean,Mann-Whitney U,480.0,0.05706635462282852,False,862.5687720889136,839.0839134954637,719.946044921875,967.8406372070312,668.2092895507812,1157.982177734375
F3bandwidth_sma3nz_stddevNorm,t-test,-2.779501862630596,0.006962975904277214,True,0.5322366640681312,0.4738463028784721,0.3810139000415802,0.7329936027526855,0.3358462154865265,0.6968719363212585
